cityCode,cityName,country_countryCode
MUM, Mumbai, IN
DEL, Delhi, IN
HYD, Hyderabad, IN
PNQ, Pune, IN
BPL, Bhopal, IN
BER, Berlin, DE
MUC, Munich, DE
FRA, Frankfurt, DE
LON, London, UK
MAN, Manchester, UK
GLA, Glasgow, UK
